date,strategy_return,predicted_regime,method,selected_etfs
2004-02-01,-0.0019117855622472514,0,regime_conditioned,"XLF,XLB"
2004-03-01,0.048243848209358856,0,regime_conditioned,"XLF,XLE"
2004-04-01,-0.022228590646952803,0,regime_conditioned,"XLF,XLE"
2004-05-01,0.002818501230496151,0,regime_conditioned,"XLF,XLE"
2004-06-01,-0.0028806326906364497,0,regime_conditioned,"XLF,XLE"
2004-07-01,0.0252501689847951,0,regime_conditioned,"XLF,XLE"
2004-08-01,0.009889595018239251,0,regime_conditioned,"XLF,XLE"
2004-09-01,0.0127368663871996,0,regime_conditioned,"XLF,XLE"
2004-10-01,0.052761278383722854,0,regime_conditioned,"XLF,XLE"
2004-11-01,-0.0112030264061883,0,regime_conditioned,"XLE,XLF"
2004-12-01,0.04809029908871115,0,regime_conditioned,"XLE,XLF"
2005-01-01,-0.011733447026965852,0,regime_conditioned,"XLE,XLF"
2005-02-01,0.0421031555803034,0,regime_conditioned,"XLF,XLE"
2005-03-01,0.059165122045653495,0,regime_conditioned,"XLE,XLF"
2005-04-01,-0.017707414831868253,0,regime_conditioned,"XLE,XLF"
2005-05-01,-0.0210545681182355,0,regime_conditioned,"XLE,XLF"
2005-06-01,0.031951469186565246,0,regime_conditioned,"XLE,XLF"
2005-07-01,0.039436064468829045,0,regime_conditioned,"XLE,XLF"
2005-08-01,0.02926941753971475,0,regime_conditioned,"XLE,XLU"
2005-09-01,0.0580215825932648,0,regime_conditioned,"XLE,XLU"
2005-10-01,0.0354676239434783,0,regime_conditioned,"XLE,XLU"
2005-11-01,-0.0875429855239044,0,regime_conditioned,"XLE,XLU"
2005-12-01,0.048897144494927394,0,regime_conditioned,"XLE,XLF"
2006-01-01,0.02257612508537895,0,regime_conditioned,"XLE,XLF"
2006-02-01,0.02986820805953045,0,regime_conditioned,"XLE,XLF"
2006-03-01,-0.0135572147054723,0,regime_conditioned,"XLE,XLF"
2006-04-01,0.0149467043645831,0,regime_conditioned,"XLE,XLF"
2006-05-01,0.043626014717124,0,regime_conditioned,"XLE,XLF"
2006-06-01,-0.026022747682985403,0,regime_conditioned,"XLE,XLF"
2006-07-01,0.014553993093468399,0,regime_conditioned,"XLE,XLF"
2006-08-01,0.015827676941518598,0,regime_conditioned,"XLE,XLF"
2006-09-01,-0.01071654573407385,0,regime_conditioned,"XLE,XLF"
2006-10-01,-0.0126369556110766,0,regime_conditioned,"XLE,XLF"
2006-11-01,0.0316521936100612,0,regime_conditioned,"XLE,XLF"
2006-12-01,0.0540909307760676,0,regime_conditioned,"XLE,XLF"
2007-01-01,-0.008252920494975096,0,regime_conditioned,"XLE,XLF"
2007-02-01,0.0206168658266621,0,regime_conditioned,"XLE,XLF"
2007-03-01,-0.032441212531011204,0,regime_conditioned,"XLE,XLF"
2007-04-01,0.0670553583463505,0,regime_conditioned,"XLE,XLU"
2007-05-01,0.0393175687546273,0,regime_conditioned,"XLE,XLU"
2007-06-01,0.03687326946992905,0,regime_conditioned,"XLE,XLU"
2007-07-01,-0.0033690479650302,0,regime_conditioned,"XLE,XLU"
2007-08-01,-0.0259636136471081,0,regime_conditioned,"XLE,XLU"
2007-09-01,0.022869498554766103,0,regime_conditioned,"XLE,XLU"
2007-10-01,0.0527655547902391,0,regime_conditioned,"XLE,XLU"
2007-11-01,0.00452825687993475,0,regime_conditioned,"XLE,XLU"
2007-12-01,0.014178245124414252,0,regime_conditioned,"XLE,XLU"
2008-01-01,0.031804093349849,0,regime_conditioned,"XLE,XLU"
2008-02-01,-0.0732343110519707,0,regime_conditioned,"XLE,XLU"
2008-03-01,0.013997159044087899,0,regime_conditioned,"XLE,XLU"
2008-04-01,0.004714158680844349,0,regime_conditioned,"XLE,XLU"
2008-05-01,0.0482586593909691,0,regime_conditioned,"XLE,XLU"
2008-06-01,0.04913644306357465,0,regime_conditioned,"XLE,XLU"
2008-07-01,0.01735852168448635,0,regime_conditioned,"XLE,XLU"
2008-08-01,-0.12928304846738906,0,regime_conditioned,"XLE,XLU"
2008-09-01,-0.022971301451345547,0,regime_conditioned,"XLE,XLU"
2008-10-01,-0.10863679893100275,0,regime_conditioned,"XLE,XLU"
2008-11-01,-0.15861201105607856,0,regime_conditioned,"XLE,XLU"
2008-12-01,-0.06764412352530615,0,regime_conditioned,"XLE,XLU"
2009-01-01,0.09593241785321975,0,regime_conditioned,"XLE,XLU"
2009-02-01,-0.049273624748534,0,regime_conditioned,"XLE,XLU"
2009-03-01,-0.1659356290460037,0,regime_conditioned,"XLE,XLU"
2009-04-01,0.09982727916319939,0,regime_conditioned,"XLE,XLU"
2009-05-01,0.062126686642067955,0,regime_conditioned,"XLE,XLU"
2009-06-01,0.08759509430296114,0,regime_conditioned,"XLE,XLU"
2009-07-01,-0.0318899618315205,0,regime_conditioned,"XLE,XLU"
2009-08-01,0.0571660612183697,0,regime_conditioned,"XLE,XLU"
2009-09-01,-0.01972778741400755,0,regime_conditioned,"XLE,XLU"
2009-10-01,0.023999027360579548,0,regime_conditioned,"XLE,XLU"
2009-11-01,0.023661169190608046,0,regime_conditioned,"XLE,XLU"
2009-12-01,0.052648653550065705,0,regime_conditioned,"XLE,XLU"
